YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_1,total_volume_area_2,total_volume_area_3,total_volume_area_4,total_volume_area_9,total_volume_area_10,total_volume_area_11,total_volume_area_12,total_volume_area_13,total_volume_area_14
2019-12,2,85,94,19,0,18,24,10,0,12,1,3,3,16,8,41,116,2,1,5,6,1,9,5,10,86,8,7,10,57,26,10,20,4,68,0,2,3,7,11,211,8,10,13,9,8,7,20,1,5,22,28,2,3,0,22,,1177.0,,,,,,,,
2020-01,2,72,76,22,1,15,36,5,2,6,1,1,5,9,11,53,126,10,1,7,7,1,22,5,7,113,8,4,5,64,20,5,23,24,59,0,4,11,7,3,138,3,29,9,9,2,11,15,0,7,19,15,2,5,0,1,,1116.0,,,,,,,,
2020-02,2,81,57,10,0,14,34,5,1,14,2,0,14,13,8,35,83,7,4,5,4,2,11,0,7,85,3,5,4,46,21,5,8,9,41,0,4,5,16,3,119,6,26,6,3,8,10,20,1,2,8,4,1,4,0,4,,888.0,,,,,,,,
2020-03,2,52,28,17,7,19,22,5,13,8,0,6,0,25,5,62,246,10,0,6,2,1,32,0,5,88,5,9,3,63,30,4,13,9,39,3,6,5,6,7,18,5,19,15,10,6,23,19,0,2,12,11,1,8,0,2,,1012.0,,,,,,,,
2020-04,2,35,7,17,4,22,21,1,40,8,0,7,4,15,10,64,70,7,3,7,6,0,8,0,10,110,2,4,3,108,29,9,33,4,31,0,0,3,14,4,13,4,25,23,20,5,31,88,1,4,6,30,0,11,0,16,,997.0,,,,,,,,
2020-05,2,43,20,49,14,25,42,8,29,39,2,3,2,11,11,89,82,11,5,15,8,3,8,1,7,93,5,15,4,144,32,10,106,22,43,0,5,4,14,8,39,0,10,39,22,14,38,58,3,7,5,132,1,26,7,29,,1462.0,,,,,,,,
2020-06,2,65,19,31,11,30,21,8,16,11,3,1,1,33,10,115,153,13,5,6,5,3,17,2,5,113,4,24,1,197,23,17,50,20,113,1,10,12,7,9,83,4,21,68,114,11,56,148,5,4,7,31,0,5,3,33,,1778.0,,,,,,,,
2020-07,2,95,30,25,2,53,37,9,34,9,5,1,0,42,18,132,165,21,1,15,4,1,9,5,5,63,2,8,5,237,47,15,23,16,61,2,7,4,14,6,75,2,39,75,75,14,38,141,3,5,17,17,1,2,16,28,,1776.0,,,,,,,,
2020-08,2,70,17,20,0,33,49,11,27,18,2,3,1,52,18,101,58,18,4,7,8,2,10,2,7,69,2,13,5,177,48,11,14,11,46,0,4,7,9,3,122,26,37,425,666,15,86,147,4,10,16,13,1,1,18,36,,2580.0,,,,,,,,
2020-09,2,92,20,20,3,33,42,8,30,12,1,2,11,65,15,98,144,16,3,16,7,3,3,6,8,39,5,17,1,184,27,12,30,26,49,2,4,9,13,5,97,5,17,119,65,16,40,85,3,5,13,12,6,4,6,18,,1592.0,,,,,,,,
2020-10,2,71,20,32,6,28,38,11,17,23,3,2,5,28,8,83,64,14,0,6,4,3,8,3,7,39,2,33,5,139,24,7,27,11,30,1,0,0,14,7,42,6,13,52,57,7,36,46,1,6,5,11,0,5,0,25,,1135.0,,,,,,,,
2020-11,2,115,18,10,0,20,25,8,19,25,2,1,5,24,7,82,75,9,2,5,6,10,4,1,6,26,2,15,2,91,23,2,14,3,71,0,2,6,9,29,63,13,33,41,50,6,34,78,6,8,4,15,0,7,0,68,,1200.0,,,,,,,,
2020-12,2,66,17,14,6,32,29,5,31,31,0,2,3,10,12,58,231,6,1,6,7,6,4,1,3,42,13,9,4,76,28,4,13,9,28,3,2,3,3,3,15,3,47,15,13,11,18,74,1,4,8,16,4,5,0,8,,1063.0,,,,,,,,
2021-01,2,65,9,40,3,23,31,6,10,19,0,2,0,9,6,47,104,8,0,6,7,6,3,0,7,126,8,4,7,95,16,7,7,24,26,0,1,6,6,3,28,11,12,3,13,6,15,19,0,1,9,2,0,3,0,7,,876.0,,,,,,,,
2021-02,2,73,8,4,5,23,54,17,3,5,1,0,1,5,6,34,35,3,5,46,7,24,3,2,5,58,38,2,1,38,46,2,7,5,12,1,0,4,4,3,73,2,18,3,2,3,8,11,0,5,6,4,1,8,0,0,,734.0,,,,,,,,
2021-03,2,154,12,43,1,42,30,8,9,21,3,0,2,23,13,91,56,17,5,22,9,6,7,26,0,133,28,8,0,148,61,14,12,8,40,1,2,4,4,3,51,4,17,16,12,10,27,36,2,5,31,5,2,3,0,9,,1296.0,,,,,,,,
2021-04,2,107,8,24,2,24,24,5,4,13,0,3,3,21,15,90,99,10,1,3,11,3,6,1,0,102,13,14,3,142,50,4,5,11,45,0,0,6,14,8,40,10,17,34,15,33,33,39,0,2,15,3,0,11,0,21,,1167.0,,,,,,,,
2021-05,2,96,14,16,2,24,24,8,5,6,0,2,1,25,14,75,83,14,1,5,1,3,11,2,0,62,6,27,3,158,67,9,8,11,50,3,0,5,9,6,28,3,16,38,60,9,43,72,4,4,9,5,0,1,5,24,,1177.0,,,,,,,,
2021-06,2,76,9,20,4,27,30,10,4,11,4,1,0,42,12,94,62,19,2,6,7,8,14,2,1,37,4,21,4,222,59,10,37,23,26,1,6,4,5,10,48,5,19,98,113,15,54,111,3,9,10,44,1,25,8,21,,1518.0,,,,,,,,
2021-07,2,80,10,22,3,38,46,11,3,12,0,5,0,34,17,113,116,20,6,10,5,9,19,24,0,30,6,30,3,231,72,11,13,23,25,0,3,2,12,5,16,6,11,76,77,12,62,114,4,6,103,9,1,1,9,33,,1609.0,,,,,,,,
2021-08,2,91,15,30,7,42,34,7,8,14,3,2,0,50,20,95,119,19,1,14,7,7,16,18,3,27,3,19,7,187,47,6,24,16,40,0,2,7,8,4,58,5,20,136,176,9,57,138,6,17,47,16,0,12,10,34,,1760.0,,,,,,,,
2021-09,2,89,9,16,3,28,27,7,9,8,2,4,0,36,14,78,96,12,0,11,7,6,10,14,3,23,4,15,9,169,36,4,9,20,50,0,2,12,6,1,45,3,8,71,45,11,45,82,4,2,18,5,6,5,7,26,,1232.0,,,,,,,,
2021-10,2,92,6,10,10,32,41,7,12,9,3,4,1,34,15,58,54,16,1,14,10,2,5,1,4,36,7,13,8,119,25,8,44,16,35,0,3,4,8,5,55,8,31,75,110,10,43,97,6,5,12,47,0,20,0,14,,1305.0,,,,,,,,
2021-11,2,93,14,11,1,16,38,8,11,13,5,2,5,17,11,59,67,9,2,8,7,4,8,5,2,20,3,10,6,99,25,4,12,7,58,0,3,8,12,11,38,7,8,31,21,4,18,37,3,2,13,1,1,5,0,55,,938.0,,,,,,,,
2021-12,2,112,9,2,3,22,43,17,6,21,0,2,6,22,9,47,71,4,4,9,4,3,13,3,8,26,9,3,2,94,18,3,12,7,30,0,2,7,8,7,42,0,17,30,34,3,20,14,2,8,9,13,0,4,0,29,,893.0,,,,,,,,
2022-01,2,111,6,6,1,22,34,16,16,48,3,4,15,8,11,32,99,8,0,9,5,22,4,2,6,18,5,2,2,33,9,2,1,17,21,0,0,2,9,0,24,2,52,6,6,9,17,8,0,3,3,6,1,2,0,2,,750.0,,,,,,,,
2022-02,2,131,7,5,1,20,37,13,4,27,2,5,25,4,4,33,80,11,2,7,7,10,4,15,3,84,4,4,2,55,16,8,20,10,32,1,0,7,7,2,76,2,9,1,1,74,7,0,3,3,11,19,0,8,0,1,,924.0,,,,,,,,
2022-03,2,104,1,54,3,19,36,4,2,46,1,2,9,21,23,52,134,9,5,7,9,10,6,5,3,239,6,6,5,82,32,12,13,21,156,0,1,12,14,5,38,3,44,18,26,12,38,15,3,14,14,23,2,5,0,12,,1436.0,,,,,,,,
2022-04,2,112,16,103,1,17,31,8,1,6,3,2,2,21,4,56,93,10,0,11,8,2,5,1,2,277,1,7,3,112,22,17,21,16,26,3,0,10,7,10,63,5,33,15,19,21,30,31,3,3,8,19,1,7,0,11,,1316.0,,,,,,,,
2022-05,2,82,21,78,9,21,49,5,7,13,4,2,6,31,10,74,97,24,5,10,12,3,7,0,2,219,0,15,9,129,37,35,46,25,15,0,4,2,11,11,60,6,42,21,26,8,36,75,6,6,24,50,2,8,11,38,,1549.0,,,,,,,,
2022-06,2,83,7,37,4,14,55,18,3,6,3,1,0,20,13,57,119,17,3,3,5,1,11,0,6,147,8,12,10,151,38,17,15,14,69,1,7,6,15,6,63,7,66,66,58,19,39,111,7,7,23,12,1,1,13,39,,1534.0,,,,,,,,
2022-07,2,130,3,32,2,21,41,18,2,11,7,4,0,31,12,62,92,11,3,6,7,3,17,2,4,99,4,12,11,141,29,12,28,22,31,1,1,5,12,9,56,7,13,103,64,33,52,111,4,9,12,18,0,10,14,29,,1473.0,,,,,,,,
2022-08,2,131,14,23,6,26,45,12,4,18,4,4,2,56,24,87,144,13,7,9,11,2,13,0,4,63,3,22,5,224,36,15,24,18,28,1,1,15,8,3,58,28,22,114,136,30,50,105,2,6,14,8,0,4,6,34,,1742.0,,,,,,,,
2022-09,2,94,13,9,10,32,46,19,3,16,4,1,0,27,11,81,48,6,2,14,3,4,13,11,3,25,7,11,2,146,34,12,39,6,24,1,3,7,20,4,44,12,14,97,59,10,44,66,2,7,29,82,9,265,7,20,,1578.0,,,,,,,,
2022-10,2,73,12,16,2,18,25,13,1,3,3,0,3,50,11,42,103,13,2,10,7,0,7,3,2,39,0,16,7,101,16,7,19,13,28,2,0,6,7,5,41,4,36,58,25,22,24,53,3,8,10,7,1,6,1,27,,1011.0,,,,,,,,
2022-11,2,84,14,13,1,20,30,13,3,12,1,0,0,20,11,50,79,14,1,13,9,8,4,1,5,35,4,4,5,76,10,0,10,7,28,4,1,15,11,24,52,6,20,74,62,4,28,47,0,7,12,7,2,2,0,64,,1027.0,,,,,,,,
2022-12,2,90,10,20,1,12,34,11,4,17,1,0,5,13,8,41,81,6,2,7,7,7,4,5,1,65,9,3,6,70,16,1,9,6,15,1,3,2,9,8,37,2,7,13,3,5,11,13,1,6,9,9,0,6,0,16,,748.0,,,,,,,,
2023-01,2,106,14,10,2,20,34,8,1,16,2,4,1,15,7,45,95,9,0,10,7,6,11,0,3,90,10,2,6,57,15,5,10,17,12,4,2,4,9,8,42,2,12,9,3,3,11,0,2,3,12,19,0,4,0,3,,802.0,,,,,,,,
2023-02,2,109,10,21,2,15,29,13,5,24,3,1,0,33,12,41,62,9,1,6,5,5,5,0,8,128,10,6,4,43,13,4,31,11,18,0,0,4,16,11,56,5,14,22,13,8,18,200,1,4,14,49,1,9,0,2,,1134.0,,,,,,,,
2023-03,2,125,14,69,2,25,33,14,4,11,3,2,0,18,14,68,58,6,1,11,11,2,8,1,4,235,5,4,5,78,23,3,36,15,18,1,2,5,12,11,31,3,35,13,13,26,25,10,0,4,8,10,1,3,0,6,,1145.0,,,,,,,,
2023-04,2,109,13,42,1,18,33,18,5,17,5,1,1,30,17,72,41,8,2,6,16,6,3,0,3,67,7,6,8,126,33,13,12,9,15,0,1,2,4,9,21,3,9,31,23,25,23,59,1,7,9,8,3,3,0,17,,1021.0,,,,,,,,
2023-05,2,157,18,41,0,25,41,5,7,10,4,6,4,35,13,113,68,11,0,8,18,0,1,0,8,69,2,9,6,119,24,10,9,13,12,0,1,4,10,5,19,5,9,24,23,29,33,102,6,7,15,4,0,1,6,30,,1199.0,,,,,,,,
2023-06,2,132,12,25,0,19,42,18,7,9,9,2,0,25,19,76,70,18,0,7,10,10,13,3,3,55,2,13,6,134,33,8,13,15,11,0,0,2,8,12,57,2,43,48,45,17,41,101,3,10,16,1,1,4,12,31,,1273.0,,,,,,,,
2023-07,2,89,8,22,5,28,35,15,3,14,4,2,1,28,15,71,85,12,2,22,12,2,2,3,6,52,4,4,6,144,30,12,48,25,12,0,6,11,5,5,51,3,14,105,92,25,54,89,6,4,23,52,1,25,8,22,,1424.0,,,,,,,,
2023-08,2,118,4,27,2,30,51,18,6,7,1,3,0,55,15,88,113,9,4,8,13,2,15,2,9,71,4,12,5,164,41,16,12,27,42,0,1,5,7,11,43,4,39,68,47,7,43,145,5,11,20,9,0,6,3,32,,1500.0,,,,,,,,
2023-09,2,102,5,23,1,20,38,10,7,6,4,2,3,57,19,56,61,19,3,7,7,5,13,7,11,34,5,22,7,113,18,14,7,12,30,0,0,1,5,7,32,11,27,40,55,11,39,158,7,6,17,12,2,3,4,25,,1210.0,,,,,,,,
2023-10,2,120,4,12,5,25,35,7,5,17,1,1,0,28,7,56,60,5,5,5,14,2,5,4,12,39,3,21,8,112,34,11,8,7,22,0,2,0,10,3,22,4,28,43,48,15,32,222,2,11,13,12,0,6,1,23,,1197.0,,,,,,,,
2023-11,2,115,7,9,0,16,33,14,5,7,2,3,1,30,18,52,70,5,2,10,7,1,1,1,2,93,9,4,6,83,20,4,10,3,19,5,4,5,5,12,50,4,33,31,8,6,20,182,1,6,20,2,3,1,0,66,,1126.0,,,,,,,,
2023-12,2,103,6,16,1,17,35,10,7,19,3,2,1,26,7,47,47,9,4,6,9,3,0,3,8,43,8,5,4,82,18,2,17,11,12,2,0,4,8,7,20,1,24,12,16,9,13,123,1,3,19,14,3,3,0,13,,886.0,,,,,,,,
2024-01,2,114,5,20,4,17,36,15,9,29,1,4,0,15,9,56,37,6,0,9,10,19,7,3,6,80,12,3,9,54,15,9,15,21,18,2,3,1,1,4,55,3,16,26,13,1,16,153,1,5,21,28,3,2,0,5,,1026.0,,,,,,,,
2024-02,2,142,14,38,0,28,33,10,7,39,1,3,1,42,15,80,54,6,3,3,15,18,6,3,3,171,2,27,4,80,34,9,9,12,19,0,0,1,6,7,38,3,26,17,8,28,21,120,0,2,23,6,3,5,0,11,,1256.0,,,,,,,,
2024-03,2,161,16,23,3,27,18,6,5,20,2,0,7,21,10,69,45,8,0,9,6,2,6,1,7,117,2,9,2,78,32,4,22,18,21,0,1,6,13,13,65,6,54,29,22,28,23,143,3,7,18,38,0,6,0,13,,1265.0,,,,,,,,
2024-04,2,139,8,43,2,29,47,15,4,6,2,2,1,35,13,70,42,12,3,12,14,1,1,0,2,116,4,9,5,92,25,10,14,28,27,0,0,4,7,7,39,6,39,37,29,12,36,209,1,5,35,28,2,6,1,23,,1359.0,,,,,,,,
2024-05,2,147,3,37,4,33,63,14,7,13,5,2,0,34,12,101,52,12,1,8,15,4,9,4,7,98,3,16,6,121,38,16,22,26,12,0,3,8,11,7,39,6,63,202,191,61,82,126,6,12,16,35,2,4,11,48,,1878.0,,,,,,,,
2024-06,2,150,13,35,4,32,33,9,7,10,5,2,1,37,13,77,74,15,1,8,9,5,8,17,14,82,5,21,2,157,42,10,13,21,37,0,1,7,16,14,41,2,32,118,89,24,73,73,5,9,21,24,1,3,10,45,,1577.0,,,,,,,,
2024-07,2,121,5,43,6,25,40,16,6,32,1,1,0,55,15,121,81,15,1,12,8,3,3,2,2,100,5,4,4,133,33,19,66,31,50,0,0,5,11,9,40,8,27,118,141,33,65,64,4,2,16,50,1,15,13,46,,1727.0,,,,,,,,
2024-08,2,125,5,12,4,25,32,9,9,21,2,0,0,64,26,111,87,15,3,10,12,3,3,8,1,27,3,12,6,145,22,9,33,19,23,1,1,3,10,7,15,1,31,82,85,8,61,141,2,5,11,22,1,10,12,32,,1427.0,,,,,,,,
2024-09,2,131,5,15,2,29,47,9,7,14,2,1,1,44,14,87,46,6,2,7,7,7,18,6,8,25,3,14,4,145,41,9,10,24,35,2,6,2,18,8,51,4,33,58,52,43,43,15,1,5,11,7,1,4,6,36,,1231.0,,,,,,,,
2024-10,2,102,8,13,1,24,45,12,10,31,1,4,1,51,17,74,34,8,1,6,19,6,3,14,2,34,1,13,4,86,17,6,6,15,15,1,0,3,10,8,58,7,29,55,87,6,32,142,2,4,14,6,2,3,2,47,,1202.0,,,,,,,,
2024-11,2,81,15,5,1,21,27,9,9,15,2,0,1,28,10,51,67,11,4,9,13,5,2,6,4,12,3,9,3,143,20,5,18,6,31,1,0,3,5,16,61,4,42,51,48,2,17,158,1,4,14,13,1,3,0,46,,1136.0,,,,,,,,
2024-12,2,84,4,13,3,29,23,13,3,10,2,3,1,22,4,56,59,8,3,11,7,8,6,11,1,16,7,6,7,53,18,2,18,4,13,0,4,6,11,8,39,4,23,23,29,0,21,162,0,1,9,2,1,4,0,32,,907.0,,,,,,,,
2025-01,2,113,8,9,3,15,28,13,6,43,0,6,1,13,12,55,84,2,3,4,14,36,4,1,8,102,10,9,3,39,21,0,12,22,22,1,0,7,5,3,38,5,30,8,7,1,10,201,1,4,18,39,0,7,0,3,,1109.0,,,,,,,,
2025-02,2,127,4,10,1,9,20,16,7,26,0,3,2,18,8,54,55,5,3,10,8,7,8,0,7,122,1,5,3,39,17,7,13,19,17,0,2,1,5,7,23,2,18,9,12,25,16,104,0,2,11,6,4,5,0,3,,906.0,,,,,,,,
2025-03,2,128,5,33,2,30,23,5,6,26,0,0,2,23,30,84,58,17,0,6,11,2,9,0,4,61,6,3,9,75,26,9,9,21,28,1,4,1,3,11,38,3,89,25,39,12,25,102,2,5,18,19,1,8,0,20,,1177.0,,,,,,,,
2025-04,2,139,12,44,3,33,25,14,8,9,6,1,3,25,15,94,50,5,1,10,21,4,9,2,5,76,4,8,4,93,31,8,32,10,25,0,2,4,11,6,33,5,21,25,21,38,30,87,2,7,8,35,0,7,1,41,,1213.0,,,,,,,,
2025-05,2,111,8,47,1,24,32,15,6,5,4,4,1,34,21,94,73,8,1,4,13,1,8,0,6,127,2,20,6,103,33,10,18,15,25,1,1,4,12,6,33,16,36,156,176,10,53,16,2,7,9,14,1,5,4,55,,1497.0,,,,,,,,
2025-06,2,117,2,28,1,25,27,9,6,6,17,0,0,27,28,92,34,13,1,15,6,1,15,29,5,126,8,17,6,120,44,9,10,13,17,5,2,6,10,3,37,7,59,119,93,16,59,20,1,3,18,16,1,1,14,58,,1422.0,,,,,,,,
2025-07,2,146,10,23,4,36,42,20,5,11,11,1,1,56,20,123,74,17,1,11,12,1,16,1,4,85,10,12,11,150,47,11,32,16,17,0,0,6,10,4,45,7,51,76,86,32,49,30,3,3,105,22,1,13,16,60,,1656.0,,,,,,,,
2025-08,2,120,13,26,5,30,51,18,11,8,10,2,0,65,22,112,54,15,2,13,17,3,16,4,4,58,4,13,9,112,45,8,35,16,12,1,3,7,4,6,35,4,32,89,85,9,63,66,5,3,71,45,0,28,13,54,,1556.0,,,,,,,,
2025-09,2,106,15,12,5,31,47,11,4,29,9,3,8,52,21,91,39,14,0,15,13,1,13,31,7,14,0,14,7,123,52,4,8,19,25,0,0,2,14,5,52,2,55,50,38,11,45,15,6,6,49,11,3,5,8,23,,1243.0,,,,,,,,
2025-10,2,109,13,6,3,28,40,14,3,21,23,0,0,62,27,88,40,16,2,19,12,5,17,6,4,19,9,15,10,100,34,4,20,12,25,1,0,6,12,5,32,1,42,54,44,5,39,37,3,7,39,19,2,7,4,39,,1204.0,,,,,,,,
2025-11,2,119,7,5,0,23,36,8,5,8,11,1,2,39,16,55,43,9,0,9,4,0,5,5,1,15,5,2,5,52,21,4,23,5,27,1,0,23,3,8,35,9,26,37,43,6,16,56,0,4,24,5,1,2,0,89,,958.0,,,,,,,,
2025-12,2,100,9,3,1,20,24,8,2,12,10,2,0,17,15,47,32,5,4,18,4,4,1,3,3,46,6,8,6,34,22,5,9,3,27,0,2,5,7,5,23,2,38,12,8,1,7,54,0,5,23,14,0,3,0,12,,731.0,,,,,,,,
2019-01,3,4,3,1,0,6,17,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,0,4,0,0,4,3,17,15,0,0,0,2,0,12,0,0,0,0,2,2,2,0,0,19,2,0,0,0,0,,,141.0,,,,,,,
2019-02,3,6,8,4,3,5,35,8,0,0,0,2,0,0,3,6,3,1,0,1,2,0,3,0,2,82,2,0,4,1,4,5,22,9,19,0,0,0,0,1,46,1,5,0,1,2,5,5,2,0,35,10,1,0,0,0,,,354.0,,,,,,,
2019-03,3,37,14,24,2,6,34,5,0,15,5,10,2,3,14,8,37,2,1,5,12,1,4,9,2,123,0,2,4,25,11,7,17,7,51,0,4,6,4,4,55,2,32,4,2,3,5,14,4,1,43,26,2,1,0,12,,,723.0,,,,,,,
2019-04,3,25,11,9,1,5,38,4,7,16,2,4,2,3,19,10,24,7,2,2,7,0,4,0,2,59,1,14,4,46,14,7,21,7,40,0,4,6,5,4,45,2,21,7,7,9,8,20,3,3,17,35,3,1,0,23,,,640.0,,,,,,,
2019-05,3,26,12,20,1,12,54,5,3,2,4,4,3,10,28,19,30,7,2,4,6,5,3,0,4,85,6,10,7,50,21,7,26,7,31,0,0,2,3,2,84,2,17,6,3,20,8,61,3,2,19,35,0,2,3,28,,,814.0,,,,,,,
2019-06,3,14,8,17,7,6,30,8,0,7,6,4,2,8,30,11,187,9,0,1,3,1,8,2,2,84,3,12,7,49,12,7,49,7,40,2,0,4,7,5,107,7,59,18,11,22,11,63,1,6,4,43,1,9,6,29,,,1056.0,,,,,,,
2019-07,3,24,11,28,2,10,38,4,0,0,2,3,1,12,26,13,167,10,2,4,7,2,4,1,2,124,1,11,9,55,24,14,30,19,64,0,3,2,3,3,53,2,34,25,31,11,19,48,0,1,130,20,1,3,4,35,,,1152.0,,,,,,,
2019-08,3,17,13,18,5,9,25,6,3,12,2,7,0,13,31,11,179,10,0,7,7,1,2,0,7,99,1,13,12,73,21,5,16,6,39,0,5,4,4,5,43,1,27,31,20,9,20,70,2,4,49,14,1,0,6,21,,,1006.0,,,,,,,
2019-09,3,19,29,26,1,11,27,8,1,11,6,2,2,12,30,17,161,10,3,6,5,3,6,6,2,80,2,20,5,49,15,15,12,7,30,0,1,2,7,3,53,1,25,14,18,23,16,35,0,4,51,17,0,2,4,14,,,929.0,,,,,,,
2019-10,3,27,24,19,5,5,25,14,0,17,14,2,0,10,20,10,53,20,2,3,4,5,4,2,0,54,3,3,2,47,12,5,13,3,21,2,0,6,2,3,70,13,28,17,25,18,10,26,2,3,32,28,5,17,4,26,,,785.0,,,,,,,
2019-11,3,9,14,17,0,7,31,18,2,2,1,2,0,3,12,15,78,12,0,6,7,2,5,3,2,28,2,4,4,24,5,3,6,5,78,5,5,9,3,7,67,1,39,27,19,3,9,14,2,4,38,10,0,1,0,88,,,758.0,,,,,,,
2019-12,3,30,18,6,0,6,19,6,1,31,6,1,0,8,12,8,125,13,0,1,3,2,6,1,1,29,2,2,11,19,6,2,11,2,18,0,1,0,1,6,85,0,44,4,3,13,6,10,2,1,20,12,0,2,0,28,,,644.0,,,,,,,
2020-01,3,39,17,5,0,4,20,18,0,3,3,1,2,3,10,7,121,13,4,4,2,1,4,5,4,57,4,3,6,38,10,7,12,7,37,0,0,7,4,3,25,14,14,4,2,3,3,6,0,1,16,29,1,2,0,2,,,607.0,,,,,,,
2020-02,3,26,9,10,4,4,19,10,0,5,1,0,10,5,13,8,60,3,3,4,2,5,5,0,3,61,1,2,2,22,9,1,5,6,28,0,0,4,4,5,37,7,15,3,3,8,8,18,0,1,11,2,0,3,0,2,,,477.0,,,,,,,
2020-03,3,41,7,10,2,0,18,7,13,3,1,2,1,8,20,5,314,15,0,5,3,2,7,0,3,61,3,4,6,29,7,5,8,3,20,0,2,1,1,1,16,1,39,4,0,12,4,2,0,2,6,6,0,0,0,5,,,735.0,,,,,,,
2020-04,3,16,7,15,2,8,13,11,33,2,0,6,1,1,25,10,102,10,0,3,1,1,10,0,2,43,6,5,7,38,19,4,13,3,21,0,0,0,8,2,19,1,10,6,1,9,5,6,0,2,6,18,0,2,0,25,,,558.0,,,,,,,
2020-05,3,24,5,18,4,9,30,14,22,7,1,5,4,14,25,6,151,19,0,7,3,8,13,12,2,50,3,6,9,40,14,5,24,5,56,1,2,5,5,7,19,3,25,7,7,22,2,24,0,4,8,38,2,29,2,45,,,872.0,,,,,,,
2020-06,3,36,3,21,4,10,23,14,13,4,2,2,0,6,21,20,175,20,4,4,11,1,7,30,0,59,4,23,8,61,19,10,21,12,34,0,3,8,7,5,15,2,17,29,31,9,22,75,5,3,6,16,0,1,4,42,,,982.0,,,,,,,
2020-07,3,31,7,10,7,13,41,5,22,2,0,3,2,10,31,17,201,16,2,23,8,2,3,1,0,64,5,12,13,51,28,12,25,3,18,0,0,2,4,3,29,5,21,16,19,7,8,84,0,5,10,13,2,3,7,36,,,962.0,,,,,,,
2020-08,3,38,12,10,2,10,21,6,21,20,2,3,0,5,18,26,142,8,1,6,9,2,5,0,0,24,2,8,11,47,19,3,8,11,37,2,2,7,6,1,32,4,28,165,188,10,36,79,0,6,15,13,3,6,1,19,,,1160.0,,,,,,,
2020-09,3,30,7,6,1,3,29,4,12,9,0,1,0,9,16,8,239,3,2,1,9,3,4,8,4,30,2,5,8,66,17,9,7,7,22,0,0,0,5,2,31,3,10,45,31,4,11,39,0,7,48,9,2,0,2,26,,,856.0,,,,,,,
2020-10,3,18,4,7,6,10,22,4,15,19,3,4,3,13,19,14,99,7,3,2,8,2,4,5,0,24,1,11,7,69,8,4,4,1,16,0,1,2,3,2,14,1,18,19,4,7,8,20,0,5,12,17,0,0,0,32,,,601.0,,,,,,,
2020-11,3,28,0,4,3,4,19,2,13,5,2,1,1,11,20,9,188,3,2,3,8,1,7,4,0,16,2,3,5,41,18,4,5,5,17,0,0,7,6,2,15,3,13,12,6,6,5,8,0,2,6,2,1,2,0,81,,,631.0,,,,,,,
2020-12,3,29,3,3,0,12,34,18,21,14,3,0,2,6,16,12,570,4,0,14,7,1,1,0,3,25,8,4,6,36,12,4,3,4,21,0,0,9,2,4,33,7,13,1,3,3,2,5,1,5,7,7,0,1,0,18,,,1017.0,,,,,,,
2021-01,3,20,5,6,0,10,35,10,24,5,0,1,2,3,10,14,196,3,0,9,4,2,2,0,0,61,2,4,8,69,13,1,3,7,27,0,0,2,5,6,24,1,28,0,1,1,2,4,0,2,16,2,2,1,0,3,,,656.0,,,,,,,
2021-02,3,20,5,0,1,2,47,16,8,8,1,0,0,6,3,7,72,4,0,41,8,6,2,2,2,69,14,5,1,14,25,2,3,2,12,0,0,2,1,1,25,4,23,3,1,0,3,34,0,0,3,3,0,0,0,1,,,512.0,,,,,,,
2021-03,3,39,2,5,1,11,48,5,7,7,3,0,5,15,31,14,246,2,3,14,9,1,7,0,3,68,10,5,4,43,20,1,7,4,30,1,0,9,1,3,34,5,45,1,7,4,7,21,0,3,21,5,0,5,0,10,,,852.0,,,,,,,
