YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_23,total_volume_area_24,total_volume_area_26
2020-05,24,58,30,40,13,84,34,8,48,11,5,3,2,33,31,135,690,23,4,27,20,7,9,3,6,71,49,20,7,342,43,17,67,24,112,1,3,8,24,23,92,6,75,27,11,78,39,105,7,11,15,132,2,26,9,81,,2851.0,
2020-06,24,65,25,24,4,125,33,8,59,6,7,2,6,32,28,149,768,19,3,17,16,4,9,77,0,93,56,24,18,297,65,13,65,25,144,4,6,17,16,29,115,8,58,46,50,39,36,145,11,1,13,51,3,12,28,61,,3035.0,
2020-07,24,84,21,39,2,118,40,14,72,16,14,3,2,32,45,170,738,24,4,68,28,11,15,243,3,85,58,14,21,347,89,11,30,27,83,1,3,12,11,29,226,7,62,58,43,44,48,310,8,4,23,32,1,4,42,54,,3593.0,
2020-08,24,119,34,18,3,133,36,6,70,39,7,6,1,36,39,163,417,25,3,21,36,3,21,167,10,51,62,23,15,370,76,19,27,33,86,1,10,26,16,18,259,22,41,153,163,31,71,382,9,3,31,16,6,4,30,46,,3513.0,
2020-09,24,80,24,20,1,94,37,7,55,35,6,7,3,51,48,163,977,32,7,24,22,6,15,6,8,49,55,14,15,380,58,14,21,25,90,0,7,9,18,9,187,3,46,38,24,16,31,126,6,4,69,17,8,3,20,45,,3135.0,
2020-10,24,61,26,36,5,85,40,8,34,45,6,3,3,41,32,139,405,32,3,18,28,6,18,4,6,45,54,19,10,308,29,7,17,20,77,3,2,21,14,9,167,11,65,34,10,15,22,65,10,8,21,21,2,9,2,55,,2236.0,
2020-11,24,57,17,21,1,85,39,3,71,24,4,7,1,28,31,114,629,24,2,19,20,7,18,4,5,36,52,7,16,231,26,8,14,18,69,0,6,10,6,10,131,6,17,15,17,4,10,22,7,6,12,6,0,4,5,144,,2146.0,
2020-12,24,55,20,18,0,89,42,3,61,36,3,1,1,28,19,100,2027,22,2,36,20,2,20,6,6,124,57,10,10,190,35,2,15,8,93,1,2,12,13,10,101,10,35,10,4,10,10,37,0,5,22,18,2,4,0,49,,3516.0,
2021-01,24,55,8,51,1,72,27,4,48,44,1,5,3,11,12,94,503,8,2,16,18,3,30,5,13,101,61,6,8,145,26,2,8,25,81,1,5,19,11,9,60,9,46,4,5,4,9,18,4,7,13,9,1,6,0,12,,1749.0,
2021-02,24,39,4,5,1,52,53,17,13,20,4,3,2,13,17,52,671,14,5,217,6,27,41,0,12,85,147,0,6,76,71,4,6,10,58,2,2,17,7,6,51,10,62,2,2,13,3,16,2,1,18,6,1,7,0,2,,1981.0,
2021-03,24,118,12,37,1,119,48,5,14,23,13,2,1,33,41,133,871,24,1,42,19,11,36,2,8,151,140,11,6,222,87,9,13,41,68,1,3,12,8,20,94,15,33,11,4,23,25,46,8,6,37,7,1,2,0,34,,2752.0,
2021-04,24,67,9,35,2,78,39,5,10,46,12,1,1,26,33,116,868,21,6,20,22,14,26,3,5,148,48,4,16,266,57,15,11,38,88,2,2,8,11,22,64,10,41,17,8,31,32,74,7,7,43,12,1,1,0,49,,2598.0,
2021-05,24,47,15,23,0,89,30,5,3,30,10,1,1,49,42,141,727,31,11,23,19,6,34,2,6,112,45,16,4,355,69,9,10,27,81,2,7,7,8,15,121,9,78,32,30,31,40,152,8,4,15,18,0,2,10,65,,2727.0,
2021-06,24,50,13,31,8,90,61,7,7,20,9,5,0,40,47,155,944,18,5,23,25,2,31,26,4,97,64,14,10,516,60,16,47,33,101,1,2,7,15,27,107,12,80,68,56,36,34,190,11,4,18,66,0,47,22,69,,3451.0,
2021-07,24,62,8,41,4,106,62,7,8,29,7,2,1,56,57,130,831,35,5,14,26,11,25,75,9,106,39,15,12,508,64,17,35,44,75,1,6,19,5,13,89,11,57,42,32,31,26,167,4,5,208,22,0,11,34,68,,3377.0,
2021-08,24,78,4,21,2,78,66,8,15,19,22,6,0,72,48,130,754,24,5,20,20,4,21,53,6,97,23,23,14,397,84,9,36,26,112,0,10,8,3,20,106,11,52,56,44,40,34,146,7,6,67,30,1,8,46,65,,3057.0,
2021-09,24,73,8,32,4,73,55,11,24,22,7,2,0,50,41,125,795,22,8,26,24,12,47,66,7,93,34,18,17,442,61,12,15,31,95,0,5,12,13,15,112,4,65,28,15,18,17,99,2,6,35,9,1,4,40,61,,2913.0,
2021-10,24,65,9,35,6,57,39,8,11,9,10,2,4,44,26,94,723,32,4,16,26,4,39,66,6,58,18,20,21,385,61,9,42,29,87,1,8,13,7,13,95,15,110,38,39,15,21,80,2,7,28,45,4,4,0,53,,2663.0,
2021-11,24,57,12,28,1,39,38,9,5,30,4,4,1,14,22,86,657,27,1,23,23,8,31,7,3,53,13,5,9,172,44,4,7,18,82,0,0,5,6,18,110,3,58,20,6,10,15,64,6,8,11,10,3,3,0,119,,2012.0,
2021-12,24,67,10,22,0,53,26,13,9,27,5,5,1,23,29,73,420,15,3,51,13,3,38,2,5,37,29,4,11,152,35,4,11,11,55,2,3,16,11,11,53,8,69,10,11,5,6,16,4,10,21,17,3,1,0,98,,1637.0,
2022-01,24,63,1,8,2,51,42,9,29,73,0,2,1,10,14,74,643,15,2,25,14,47,20,1,11,85,76,6,12,110,27,10,7,16,64,0,1,10,12,2,54,9,31,8,4,6,6,3,4,5,18,15,2,8,0,12,,1780.0,
2022-02,24,80,4,11,1,50,34,10,12,27,2,5,0,15,23,82,385,12,6,35,13,15,29,4,6,263,65,8,11,107,52,10,36,13,51,3,2,6,13,5,62,3,68,6,3,94,7,0,5,5,29,39,2,8,0,2,,1839.0,
2022-03,24,104,9,63,4,54,50,8,0,32,8,9,0,38,47,135,797,30,6,17,33,15,41,9,7,357,34,7,19,205,56,14,19,29,90,0,4,18,7,21,74,15,71,17,9,49,15,1,11,2,15,36,4,1,0,21,,2737.0,
2022-04,24,95,11,108,3,49,52,7,3,20,9,2,0,19,24,70,603,41,5,9,19,7,15,1,8,351,23,5,13,217,45,6,43,28,52,2,2,9,13,33,54,17,81,25,10,38,17,49,9,1,26,59,1,2,0,43,,2454.0,
2022-05,24,86,12,132,6,69,43,7,5,21,9,9,0,64,53,118,763,40,3,23,16,6,31,6,5,302,31,13,10,261,52,16,34,34,35,0,1,13,18,43,78,11,93,23,30,31,35,89,6,6,28,70,0,9,14,108,,3021.0,
2022-06,24,68,16,67,6,88,45,11,7,28,6,0,0,38,58,105,600,32,10,24,33,5,27,13,15,133,29,5,8,287,71,12,28,28,28,6,5,16,8,32,107,21,85,149,123,73,54,167,10,5,24,54,1,5,38,99,,3013.0,
2022-07,24,71,14,40,2,59,48,7,7,30,11,2,2,35,55,118,802,26,8,20,20,9,18,10,9,93,26,23,12,294,90,20,22,30,23,2,1,14,13,17,84,13,52,52,64,78,48,103,11,7,37,25,1,12,44,74,,2808.0,
2022-08,24,80,20,35,5,64,56,15,1,18,13,2,1,50,52,84,830,51,11,18,37,17,15,7,6,118,19,17,8,315,74,16,15,36,45,2,2,9,13,16,149,14,42,126,71,31,57,152,19,7,18,14,2,7,32,49,,2983.0,
2022-09,24,80,18,33,0,70,63,15,3,15,12,2,1,40,47,117,806,37,2,19,20,10,19,5,7,73,25,15,14,321,80,8,26,37,50,0,2,5,10,11,157,15,41,54,36,13,33,86,13,10,175,24,7,20,11,56,,2869.0,
2022-10,24,53,9,27,2,58,36,13,4,7,7,4,2,46,40,79,621,33,3,16,16,1,19,18,5,40,16,18,10,225,39,15,12,23,40,3,6,6,15,23,145,12,85,24,21,34,30,83,1,7,39,10,5,7,3,93,,2209.0,
2022-11,24,70,13,17,1,32,28,12,6,26,2,4,1,25,33,70,749,29,8,18,20,10,17,15,8,60,9,8,10,172,35,7,9,20,44,2,2,23,11,28,146,21,53,24,17,12,15,41,2,8,23,21,0,5,2,173,,2217.0,
2022-12,24,79,4,26,1,41,32,27,2,29,2,2,0,16,24,54,454,24,4,19,10,26,8,1,2,59,23,4,8,110,42,7,4,15,30,0,6,7,13,10,90,17,62,11,8,13,12,15,5,2,18,19,2,8,0,60,,1567.0,
2023-01,24,72,4,30,1,40,41,6,7,41,6,0,2,27,27,62,631,31,5,11,27,11,17,4,9,268,8,3,7,139,41,13,17,18,34,1,8,12,11,17,90,7,89,8,7,33,14,1,5,4,25,27,5,8,0,16,,2048.0,
2023-02,24,85,17,42,3,49,47,8,1,19,7,4,1,21,26,72,652,32,6,17,22,4,14,14,2,184,10,3,14,157,39,6,17,24,47,1,8,14,10,14,123,9,67,12,12,21,12,1,5,4,25,72,3,8,0,9,,2096.0,
2023-03,24,87,30,137,2,76,35,11,6,21,7,10,0,25,21,113,663,38,4,14,16,14,23,6,2,285,13,11,9,206,49,12,29,32,30,1,1,15,14,23,127,6,61,18,22,47,20,4,7,4,18,45,0,5,0,15,,2490.0,
2023-04,24,81,17,62,2,49,41,5,4,7,6,3,4,29,56,97,654,32,3,16,18,0,37,1,2,218,9,17,12,229,45,12,19,33,62,0,4,13,14,41,88,18,65,72,58,59,52,217,8,9,17,28,0,3,4,79,,2731.0,
2023-05,24,98,22,60,2,53,42,4,10,27,9,4,1,47,45,116,789,35,1,16,27,5,32,5,1,181,14,11,13,275,42,12,30,27,40,8,16,14,10,29,53,10,65,21,15,49,46,385,8,8,36,25,1,3,19,110,,3027.0,
2023-06,24,91,5,56,2,66,33,4,13,14,11,4,0,41,41,107,648,38,8,28,15,5,19,2,4,99,23,9,14,264,49,6,23,47,47,1,3,8,6,21,41,8,57,53,57,48,79,288,5,6,37,13,1,4,18,102,,2692.0,
2023-07,24,67,2,52,17,62,43,12,9,10,9,3,1,40,48,96,675,29,1,30,21,6,19,75,12,108,10,11,9,282,45,29,73,48,35,2,4,9,12,28,111,4,75,103,82,35,76,210,7,4,38,114,2,46,42,88,,3081.0,
2023-08,24,106,12,46,6,65,52,9,8,22,10,2,1,42,64,125,636,24,14,26,41,5,19,49,15,85,21,12,12,297,63,17,27,50,50,3,6,16,28,23,51,6,89,67,57,55,57,345,5,4,39,48,4,7,54,84,,3081.0,
2023-09,24,67,23,52,7,53,69,9,12,13,13,5,1,52,37,139,711,37,2,51,23,4,22,18,9,89,20,12,14,274,61,14,28,37,45,2,4,6,12,15,55,9,58,35,39,48,65,362,5,4,36,32,2,16,25,58,,2911.0,
2023-10,24,67,15,46,2,51,45,5,5,28,4,5,2,31,29,88,606,22,3,22,63,4,20,2,5,50,11,11,13,256,39,12,13,32,42,3,8,13,23,20,47,4,58,33,21,12,66,268,10,12,23,20,0,2,14,92,,2398.0,
2023-11,24,72,5,36,1,55,25,7,6,21,7,5,4,38,32,77,564,29,1,57,27,2,6,20,14,43,5,14,7,154,31,6,7,25,38,0,7,14,6,49,36,3,37,18,3,26,24,211,8,13,35,19,2,3,2,181,,2138.0,
2023-12,24,75,5,38,1,47,25,11,12,19,3,5,1,11,35,72,517,28,3,9,17,2,10,1,5,63,13,10,12,122,43,1,17,12,25,3,2,9,9,39,70,2,51,11,5,7,18,218,2,7,21,19,2,2,0,92,,1859.0,
2024-01,24,80,12,39,6,78,43,22,4,64,1,6,0,21,24,54,583,31,8,92,12,44,19,4,7,148,21,11,5,101,42,5,13,23,68,1,5,11,7,10,84,25,167,14,22,11,15,151,4,2,173,76,3,5,0,20,,2497.0,
2024-02,24,96,13,44,3,63,34,7,3,33,5,7,2,39,22,100,622,22,2,15,21,8,36,3,14,203,8,7,4,117,40,9,11,24,61,3,6,12,6,20,71,13,86,15,5,27,18,174,2,1,31,21,0,4,0,18,,2231.0,
2024-03,24,112,9,38,2,58,31,9,8,36,11,4,0,33,33,95,675,25,4,16,26,5,24,1,4,174,9,9,10,158,41,14,21,41,111,2,5,23,13,28,57,6,51,13,15,39,64,123,9,6,131,50,1,4,0,46,,2533.0,
2024-04,24,89,18,56,4,40,34,5,12,20,7,1,1,40,42,80,607,38,5,13,33,15,22,2,4,243,9,11,8,136,44,9,39,25,86,1,1,12,15,43,73,15,36,21,28,51,46,127,105,6,599,77,2,8,3,70,,3137.0,
2024-05,24,104,7,67,8,63,44,8,9,19,6,3,0,49,46,101,516,50,6,19,31,5,16,2,5,278,19,19,15,207,69,10,56,51,105,1,4,17,14,27,81,7,63,75,64,74,69,78,9,9,34,129,2,5,40,162,,2977.0,
2024-06,24,98,13,40,1,64,51,8,10,9,10,6,1,41,55,101,649,37,5,26,18,4,12,36,15,174,21,7,3,234,54,6,11,32,97,2,3,8,3,13,134,14,56,83,76,41,61,94,4,6,29,60,3,5,35,114,,2793.0,
2024-07,24,97,8,53,5,71,39,6,17,15,13,4,1,57,65,98,898,35,4,18,17,3,31,128,5,146,28,17,9,253,75,12,31,47,143,1,6,21,20,31,62,24,71,307,223,102,93,15,9,6,34,53,3,5,45,104,,3684.0,
2024-08,24,87,7,42,2,67,49,8,39,11,11,8,1,51,46,134,936,37,9,35,24,5,15,140,10,78,13,12,9,232,67,6,19,44,172,2,4,13,25,18,84,12,49,55,60,50,39,49,11,12,38,24,1,3,50,71,,3096.0,
2024-09,24,103,13,34,3,60,43,8,24,60,7,11,0,49,71,117,723,36,1,21,47,12,20,14,8,76,17,28,14,186,71,6,17,26,77,1,4,10,10,20,82,9,79,45,40,43,57,9,11,18,27,51,3,2,18,60,,2602.0,
2024-10,24,105,7,33,3,46,48,5,14,18,3,3,1,73,34,85,713,29,9,17,23,9,17,19,9,69,13,32,11,262,38,11,11,32,78,2,8,5,10,27,62,8,117,42,34,26,28,79,8,9,51,15,1,2,5,86,,2505.0,
2024-11,24,70,33,48,2,60,23,3,11,43,5,3,1,27,25,67,607,46,2,7,23,1,15,1,6,57,12,12,9,111,37,9,12,40,63,6,7,12,16,31,97,10,83,23,6,66,12,183,8,4,27,50,1,5,0,176,,2314.0,
2024-12,24,70,2,24,2,49,32,12,11,54,1,2,1,23,27,53,488,51,9,20,15,35,14,2,10,44,11,5,12,107,17,2,10,7,48,4,9,12,11,27,47,2,84,12,7,16,14,208,9,4,29,34,2,6,0,106,,1913.0,
2025-01,24,80,6,15,4,55,23,15,6,58,5,3,2,27,26,69,652,24,5,31,14,44,22,7,7,77,22,10,10,106,43,3,13,17,53,0,0,3,4,21,84,8,82,12,6,9,6,272,3,3,19,51,4,8,0,12,,2161.0,
2025-02,24,105,4,17,0,43,40,4,9,68,7,2,2,27,25,65,509,22,8,21,13,26,13,9,3,152,21,3,9,109,46,14,3,13,41,2,7,22,12,8,58,10,69,13,11,82,9,307,2,6,35,23,3,7,0,7,,2146.0,
2025-03,24,123,5,70,5,62,37,8,10,18,13,8,3,36,43,97,643,48,2,8,37,1,33,2,3,228,13,2,9,194,54,8,21,22,67,2,5,18,12,29,48,12,92,15,31,30,23,157,8,7,25,29,0,3,0,53,,2532.0,
2025-04,24,124,3,82,6,64,32,5,9,47,14,7,4,34,57,88,608,37,5,19,21,13,24,10,8,248,12,12,15,180,71,15,37,41,75,1,3,20,9,27,49,14,93,25,15,35,40,72,6,9,26,102,3,6,0,89,,2671.0,
2025-05,24,124,5,71,6,62,57,8,12,13,8,3,6,40,58,86,541,38,2,25,23,5,27,9,5,245,19,28,13,220,65,9,25,34,51,1,6,12,10,32,78,13,87,51,88,82,63,40,4,7,26,64,3,2,4,140,,2756.0,
2025-06,24,116,6,63,8,67,45,12,10,27,11,2,0,63,75,111,688,52,6,35,29,5,40,76,10,246,15,15,13,279,66,10,35,40,48,2,3,6,17,34,62,21,94,75,87,90,53,119,17,14,35,83,1,7,31,131,,3306.0,
2025-07,24,122,18,79,8,95,67,12,3,25,15,2,4,68,72,129,667,36,5,51,35,9,18,10,7,150,24,23,16,338,85,18,53,40,61,0,1,24,10,37,84,20,86,63,85,83,49,60,10,7,94,122,2,23,73,112,,3410.0,
2025-08,24,102,14,54,10,89,59,12,7,55,14,7,0,66,66,118,670,41,10,17,32,5,30,0,3,90,17,34,24,274,103,15,44,60,42,2,9,16,15,27,61,8,75,60,64,88,47,52,4,8,150,103,3,12,64,128,,3180.0,
2025-09,24,93,8,48,4,57,43,13,10,28,8,4,2,78,55,101,682,41,1,21,26,10,17,11,7,84,21,17,19,247,63,8,12,35,26,0,2,19,16,14,55,11,70,57,69,24,47,12,6,8,103,16,2,5,51,87,,2574.0,
2025-10,24,123,13,30,5,59,47,10,7,31,16,4,8,54,44,87,810,41,8,18,16,8,36,17,1,50,20,16,11,208,60,11,16,35,40,0,11,20,10,29,91,7,100,28,43,30,27,50,7,10,34,30,4,9,20,89,,2609.0,
2025-11,24,74,15,33,2,43,30,9,8,15,8,2,21,40,20,79,542,30,5,16,18,4,24,2,11,35,10,5,10,140,40,2,10,11,39,0,1,5,9,40,60,11,76,14,31,46,21,175,1,1,40,8,2,2,0,217,,2113.0,
2025-12,24,65,8,13,2,58,47,8,4,44,4,7,13,21,31,61,594,28,9,25,13,1,10,44,9,62,14,7,10,78,48,3,6,10,38,2,5,10,8,19,92,7,51,12,15,3,7,114,2,12,32,29,2,4,0,34,,1855.0,
2019-01,25,16,87,17,0,41,82,26,1,2,0,2,0,0,0,0,0,1,1,0,0,1,7,0,10,31,2,0,6,0,0,3,3,123,16,0,0,0,16,0,69,1,5,0,0,4,6,16,1,0,84,2,4,0,0,0,,,686.0
2019-02,25,34,71,20,2,37,54,47,0,7,0,5,0,0,9,103,2,6,8,0,4,0,12,0,3,277,1,1,2,6,8,3,24,6,4,0,0,0,10,1,168,0,4,1,1,7,18,35,9,3,111,7,6,0,0,0,,,1137.0
2019-03,25,85,133,49,4,41,60,15,3,31,27,3,1,30,34,172,22,14,14,13,22,29,10,2,3,479,19,30,2,68,53,20,31,7,25,1,6,6,47,13,264,25,38,25,12,3,38,40,19,21,94,29,4,19,0,0,,,2255.0
2019-04,25,104,75,111,5,52,78,16,9,53,28,2,1,43,42,198,18,20,15,17,20,23,13,1,8,373,24,14,5,92,38,12,80,12,144,4,19,18,48,16,195,12,66,58,23,19,78,78,24,25,65,43,3,42,0,9,,,2591.0
2019-05,25,96,90,99,16,57,81,15,4,33,33,4,1,32,51,198,22,22,15,22,28,9,29,2,1,337,13,31,2,127,54,27,93,10,66,1,9,16,56,3,230,12,60,77,21,29,79,117,31,41,24,99,0,37,156,12,,,2830.0
2019-06,25,89,108,141,10,68,92,18,8,19,32,9,0,47,63,211,47,31,12,13,16,8,45,11,6,422,19,40,8,151,66,29,68,21,78,3,4,5,60,8,243,7,73,112,46,9,55,218,32,44,19,54,2,19,701,20,,,3740.0
2019-07,25,124,122,103,5,79,114,29,5,25,44,6,0,65,82,299,78,33,50,53,17,19,15,111,13,340,10,28,15,158,64,22,62,26,47,0,6,15,75,12,389,13,42,130,74,10,72,272,56,47,166,35,2,10,767,15,,,4471.0
2019-08,25,93,103,95,3,57,110,21,4,33,34,5,1,76,71,283,48,36,28,12,25,23,22,49,8,262,13,52,8,159,80,20,36,14,47,3,3,7,52,9,326,21,36,121,36,5,64,196,38,35,306,23,2,9,1104,12,,,4339.0
2019-09,25,99,106,105,3,56,102,26,4,59,29,9,9,82,51,228,63,37,30,30,10,24,13,18,10,271,12,47,6,157,47,19,35,16,79,0,4,13,64,12,259,4,29,97,30,26,71,345,28,30,172,40,5,24,760,10,,,3915.0
2019-10,25,110,87,96,2,62,107,29,8,32,17,0,4,32,50,199,66,21,19,24,11,13,32,10,11,166,16,25,10,148,30,19,32,12,58,1,0,4,79,21,244,9,55,64,74,10,37,165,17,38,86,28,3,34,307,7,,,2841.0
2019-11,25,66,65,50,1,35,95,50,1,16,3,5,5,29,48,134,81,13,11,48,16,21,6,1,11,82,27,36,9,77,34,9,16,4,38,0,0,7,65,12,224,11,63,28,21,3,30,43,19,31,22,12,2,4,18,13,,,1771.0
2019-12,25,111,75,30,1,54,71,15,3,32,12,3,18,29,39,165,44,27,6,75,11,17,5,20,26,84,37,32,6,62,27,5,15,4,28,1,3,11,57,11,194,8,22,21,8,3,23,47,14,19,26,10,2,10,0,5,,,1684.0
2020-01,25,114,66,23,2,76,86,35,1,30,13,1,24,27,34,205,82,19,17,32,11,37,13,0,12,111,41,29,5,55,33,14,30,11,29,0,3,16,58,8,279,12,63,12,13,6,21,17,20,36,31,16,4,31,0,3,,,1967.0
2020-02,25,104,77,58,1,39,75,15,7,11,10,1,59,25,36,140,42,13,20,13,14,11,13,0,14,123,11,37,9,58,38,5,15,6,35,1,2,7,41,10,190,19,62,17,4,5,13,20,31,28,28,2,6,5,0,2,,,1628.0
2020-03,25,92,63,28,1,46,51,19,33,13,30,8,32,42,55,183,51,14,5,16,17,11,10,0,4,74,12,36,17,71,42,7,23,7,40,1,5,7,47,16,141,9,38,18,10,4,26,66,22,36,14,6,5,18,0,0,,,1642.0
2020-04,25,59,32,56,6,70,58,16,98,16,44,7,2,39,83,221,108,7,11,21,19,8,14,0,9,105,14,35,6,79,59,5,40,13,140,0,24,7,37,19,151,6,45,38,6,9,26,82,13,23,10,44,6,48,0,9,,,2103.0
2020-05,25,103,48,56,27,92,82,41,70,26,53,11,5,50,83,302,168,26,18,36,16,11,20,1,9,126,18,57,8,145,110,14,142,16,51,1,6,11,35,23,174,13,31,83,17,53,49,87,20,28,10,149,2,220,56,23,,,3132.0
2020-06,25,131,54,50,8,97,87,30,20,19,40,3,3,46,82,335,109,15,22,33,17,7,10,11,3,110,27,45,6,154,70,11,59,24,53,0,5,10,34,10,281,13,45,215,239,7,107,302,49,20,8,47,3,27,86,26,,,3325.0
2020-07,25,234,43,39,9,109,117,35,26,46,30,3,4,57,70,381,77,40,22,105,14,14,20,71,1,101,80,43,8,201,96,17,32,16,82,0,7,19,43,20,207,15,37,182,89,11,65,190,38,25,5,11,3,14,614,26,,,3864.0
2020-08,25,272,43,35,7,90,119,31,29,15,32,6,3,57,76,341,45,15,32,36,24,12,17,80,10,76,37,34,6,210,80,5,29,37,55,2,8,18,51,23,309,31,53,667,592,14,103,182,30,28,7,6,2,7,502,18,,,4649.0
2020-09,25,207,53,30,2,106,105,32,22,31,24,9,0,49,70,308,73,21,7,25,15,10,20,10,9,51,32,35,3,218,73,11,23,25,28,0,2,6,39,23,259,11,94,177,88,27,50,148,39,22,12,8,4,7,446,17,,,3216.0
2020-10,25,196,57,21,3,75,116,35,17,22,30,3,1,44,73,226,31,18,16,25,15,16,10,4,2,49,16,41,5,182,71,11,26,11,60,2,3,14,40,10,169,17,41,97,36,5,32,183,20,32,11,14,2,26,376,15,,,2673.0
2020-11,25,147,48,12,0,56,52,33,30,19,24,2,1,36,64,212,90,10,8,53,18,7,14,4,5,31,19,21,8,123,40,6,14,5,81,0,2,8,28,14,121,16,53,55,31,2,32,38,10,18,6,10,4,6,542,28,,,2317.0
2020-12,25,158,35,22,7,73,70,26,28,31,16,3,0,26,33,212,151,14,7,70,10,14,12,6,13,92,24,15,6,138,64,3,16,11,54,0,2,5,49,16,96,18,34,40,13,1,18,16,17,12,5,9,0,12,0,2,,,1825.0
2021-01,25,142,29,19,1,66,61,33,20,28,9,8,4,16,36,171,70,10,7,30,7,11,9,5,12,77,36,16,4,91,40,4,18,19,73,1,6,15,24,5,89,7,50,16,8,0,28,27,9,16,7,3,2,13,0,0,,,1508.0
2021-02,25,139,9,3,2,45,182,65,11,31,0,6,1,20,31,98,81,7,7,144,6,55,10,8,9,71,91,26,2,35,59,1,14,2,27,2,6,10,23,1,63,1,36,1,7,0,4,5,8,13,6,3,0,18,0,0,,,1505.0
2021-03,25,259,41,54,2,97,103,31,19,32,51,5,0,49,79,253,92,21,17,84,15,9,24,5,4,146,68,24,1,156,166,14,29,23,64,3,7,21,49,19,89,11,34,32,18,10,44,66,46,25,18,3,0,21,0,4,,,2557.0
2021-04,25,276,27,33,1,115,94,26,14,24,82,3,4,28,65,268,51,25,28,34,21,8,22,4,4,131,25,34,8,159,108,9,17,30,68,0,12,21,39,20,77,23,22,72,18,14,65,68,33,34,10,1,4,8,0,12,,,2399.0
2021-05,25,278,14,20,3,88,84,32,10,25,58,5,0,47,64,265,53,30,85,28,10,17,17,2,8,84,31,61,4,184,87,1,26,21,57,1,1,10,57,14,81,12,31,67,43,13,75,178,39,32,11,6,8,6,64,18,,,2566.0
2021-06,25,291,22,27,10,88,88,44,5,41,47,13,1,80,70,346,69,44,35,35,18,26,51,283,9,121,23,39,7,238,125,22,76,38,30,1,3,9,43,14,148,14,49,133,121,17,60,249,23,32,10,75,2,164,767,24,,,4420.0
2021-07,25,236,17,38,3,87,111,32,9,21,63,3,1,59,77,352,120,34,18,30,19,14,18,27,6,135,12,38,5,235,102,21,70,35,77,1,2,13,43,17,152,14,23,200,114,16,82,225,31,25,112,17,6,28,584,22,,,3852.0
2021-08,25,176,27,23,4,64,109,44,9,43,42,6,1,73,75,280,54,34,17,32,41,3,11,23,6,87,15,23,11,213,106,19,38,25,55,2,3,8,44,15,125,14,42,169,128,11,71,208,27,32,64,14,2,14,123,15,,,2920.0
2021-09,25,162,9,27,3,56,108,26,13,33,41,4,10,80,82,195,42,20,27,21,9,8,23,4,10,48,23,20,6,222,75,9,32,24,33,0,2,3,47,11,80,9,100,114,41,5,54,107,31,23,20,9,5,3,193,15,,,2377.0
2021-10,25,205,16,40,7,51,94,31,12,31,16,8,10,53,46,206,49,14,14,19,11,20,12,3,6,57,16,27,11,183,55,10,32,21,50,0,8,6,33,8,157,18,35,75,76,3,44,86,21,29,25,43,1,18,0,16,,,2138.0
2021-11,25,158,18,25,3,57,68,35,9,49,11,6,14,28,55,206,35,33,13,35,8,18,11,4,7,57,13,14,4,148,33,10,18,6,39,2,0,8,40,10,147,9,55,42,19,2,19,54,14,24,12,10,5,2,0,18,,,1740.0
2021-12,25,200,10,19,0,51,61,22,9,23,16,2,8,27,68,150,45,21,20,48,15,6,18,9,12,47,12,32,4,135,44,6,19,8,69,2,2,15,51,6,38,19,22,30,30,1,20,14,5,31,5,15,0,22,0,9,,,1573.0
2022-01,25,212,14,7,0,63,73,49,12,85,9,3,6,20,28,144,130,8,17,25,12,42,18,7,19,33,31,19,7,55,23,5,5,12,56,1,6,15,41,1,42,11,38,6,4,2,12,0,11,30,11,9,3,9,0,0,,,1501.0
2022-02,25,202,7,8,6,45,97,40,6,69,5,9,5,28,54,108,57,8,14,17,7,12,18,6,5,107,19,23,4,65,44,9,21,8,67,1,1,23,42,3,129,17,49,6,6,5,22,0,22,17,10,23,1,39,0,0,,,1616.0
