YEAR_MONTH,COMMUNITY_AREA,Abandoned Vehicle Complaint,Alley Light Out Complaint,Alley Pothole Complaint,Alley Sewer Inspection Request,Blue Recycling Cart,Building Violation,Buildings - Plumbing Violation,Business Complaints,Check for Leak,Clean Vacant Lot Request,Consumer Fraud Complaint,Coyote Interaction Complaint,Dead Animal Pick-Up Request,Fly Dumping Complaint,Garbage Cart Maintenance,Graffiti Removal Request,Inspect Public Way Request,Low Water Pressure Complaint,Missed Garbage Pick-Up Complaint,No Building Permit and Construction Violation,No Water Complaint,Nuisance Animal Complaint,Open Fire Hydrant Complaint,Pet Wellness Check Request,Pothole in Street Complaint,Recycling Pick Up,Report an Injured Animal,Restaurant Complaint,Rodent Baiting/Rat Complaint,Sanitation Code Violation,Sewer Cave-In Inspection Request,Sewer Cleaning Inspection Request,Sidewalk Inspection Request,Sign Repair Request - All Other Signs,Sign Repair Request - Do Not Enter Sign,Sign Repair Request - One Way Sign,Sign Repair Request - Stop Sign,Stray Animal Complaint,Street Cleaning Request,Street Light Out Complaint,Street Light Pole Damage Complaint,Traffic Signal Out Complaint,Tree Debris Clean-Up Request,Tree Emergency,Tree Planting Request,Tree Removal Inspection,Tree Trim Request (NO LONGER BEING ACCEPTED),Vacant/Abandoned Building Complaint,Vicious Animal Complaint,Water Lead Test Kit Request,Water On Street Complaint,Water Quality Concern,Water in Basement Complaint,Weed Removal Request,Yard Waste Pick-Up Request,total_volume_area_5,total_volume_area_6,total_volume_area_7,total_volume_area_21,total_volume_area_22
2020-04,6,7,10,24,4,33,14,4,76,6,2,7,7,25,20,43,316,11,1,7,13,0,8,4,2,59,8,10,3,123,19,2,30,7,100,1,7,4,3,9,23,4,42,5,0,4,11,28,0,7,8,33,1,2,0,38,,1235.0,,,
2020-05,6,29,5,18,9,30,22,3,40,9,1,4,6,21,33,57,224,14,2,27,16,5,11,3,0,52,9,17,14,167,39,7,54,13,63,4,4,7,6,14,29,2,46,18,9,15,31,77,0,6,11,72,1,16,4,76,,1472.0,,,
2020-06,6,32,18,17,5,41,32,6,56,24,4,4,1,34,31,82,235,28,0,27,15,3,10,4,1,57,9,22,19,207,23,8,29,13,75,3,6,10,5,14,51,7,52,41,50,12,50,141,3,4,13,48,1,3,0,57,,1743.0,,,
2020-07,6,35,2,13,0,51,31,2,77,17,7,7,2,25,41,66,221,22,2,36,16,2,7,16,2,65,10,11,16,267,49,24,26,13,52,1,7,8,3,5,32,9,58,29,44,15,32,98,3,2,22,18,3,3,7,43,,1675.0,,,
2020-08,6,39,8,22,2,52,18,8,55,14,5,3,1,29,41,91,223,16,2,4,16,1,6,4,4,53,13,11,18,288,65,9,22,17,33,2,0,3,6,13,74,20,39,464,525,16,85,138,5,6,23,22,1,2,13,40,,2690.0,,,
2020-09,6,14,12,17,2,66,25,3,46,16,4,4,2,28,17,81,369,18,3,17,10,2,10,12,2,35,9,12,11,266,41,5,13,12,47,0,3,9,6,9,86,3,42,102,55,17,31,116,4,5,73,12,4,0,8,23,,1839.0,,,
2020-10,6,24,10,19,0,46,41,6,35,8,0,1,3,28,27,51,171,16,1,4,17,0,8,11,1,23,7,11,19,250,54,8,15,9,18,4,1,2,6,7,44,5,36,24,43,9,22,101,2,8,40,17,3,1,0,46,,1363.0,,,
2020-11,6,35,9,13,0,43,26,4,69,16,1,4,5,19,11,52,205,11,1,12,4,3,3,3,1,24,4,8,21,166,39,2,16,5,47,0,4,1,1,22,31,16,50,17,12,29,15,60,1,4,14,15,2,6,0,156,,1338.0,,,
2020-12,6,22,7,15,2,39,19,10,105,22,2,4,7,17,10,57,698,12,1,28,10,2,11,0,6,42,15,9,12,146,24,8,11,7,16,2,2,11,3,6,62,1,35,6,5,3,13,14,1,1,27,13,2,9,0,25,,1637.0,,,
2021-01,6,20,9,44,3,42,23,3,76,8,0,2,1,9,9,49,272,7,3,13,8,1,10,0,3,110,21,4,19,115,25,6,5,8,23,0,1,5,10,2,28,9,44,5,5,9,8,20,0,4,20,10,1,0,0,9,,1141.0,,,
2021-02,6,34,7,2,2,22,53,10,15,6,2,1,0,6,7,31,111,6,3,58,8,10,11,7,6,63,19,2,7,40,46,4,3,3,49,0,0,0,2,1,40,6,50,3,0,6,1,4,1,6,17,4,2,2,0,1,,800.0,,,
2021-03,6,48,5,33,6,50,43,8,25,6,3,3,0,15,19,78,319,19,4,16,8,1,13,13,5,104,7,4,8,191,47,7,5,10,118,0,5,5,4,5,74,7,78,5,15,15,16,40,2,1,43,3,3,2,0,29,,1593.0,,,
2021-04,6,42,7,15,2,42,35,2,13,9,1,1,0,34,25,71,497,20,0,9,11,3,16,0,6,66,7,11,5,211,33,8,16,18,113,2,2,5,6,6,41,9,76,11,12,38,17,37,2,3,43,7,2,3,0,26,,1697.0,,,
2021-05,6,34,2,20,0,42,27,5,12,13,1,4,11,27,38,57,253,15,0,12,5,3,16,1,4,56,7,16,5,225,42,9,6,11,58,0,3,3,7,7,39,3,44,15,31,23,44,87,1,8,32,9,0,3,0,43,,1439.0,,,
2021-06,6,32,6,9,7,35,47,8,2,10,4,3,0,24,25,71,429,22,6,18,13,5,14,1,1,48,4,13,9,301,44,10,41,15,49,0,3,13,2,6,42,6,56,27,32,16,53,90,3,8,27,44,4,17,7,44,,1826.0,,,
2021-07,6,21,4,19,6,38,39,5,6,49,7,1,0,42,23,65,194,26,4,23,18,2,5,1,1,107,5,25,13,336,24,13,20,14,50,2,0,5,2,8,34,4,89,31,37,17,43,87,4,7,160,15,0,13,12,47,,1823.0,,,
2021-08,6,46,2,22,0,34,33,12,22,9,5,2,0,37,29,61,334,27,4,19,15,19,6,7,2,46,7,10,21,274,64,8,19,10,75,3,3,13,4,6,49,10,63,47,51,9,47,80,5,7,70,8,0,2,3,36,,1797.0,,,
2021-09,6,38,5,26,2,35,35,9,39,10,0,2,0,39,21,64,162,25,4,11,16,3,8,14,0,34,6,10,19,254,38,12,8,17,49,5,2,9,9,4,21,3,49,25,14,21,23,72,4,6,46,9,1,2,3,23,,1366.0,,,
2021-10,6,26,4,9,5,30,36,7,17,25,3,1,3,39,19,59,202,24,2,10,11,4,7,3,5,41,5,10,10,235,25,6,22,9,57,1,1,4,6,5,108,6,74,61,82,8,33,99,1,6,36,35,3,2,0,57,,1599.0,,,
2021-11,6,25,18,12,1,26,31,11,18,15,2,4,3,19,13,45,204,28,2,10,10,1,6,3,4,61,4,4,5,155,47,4,9,6,43,0,0,6,5,8,35,8,53,17,3,7,15,30,1,3,23,5,0,2,0,109,,1179.0,,,
2021-12,6,38,9,9,2,30,20,3,27,15,0,4,1,8,16,34,158,28,2,27,6,5,7,5,2,90,6,7,19,133,38,3,8,6,40,5,0,2,4,8,40,3,74,20,27,2,15,41,4,8,27,27,0,2,0,89,,1204.0,,,
2022-01,6,25,4,8,0,30,39,16,33,17,0,3,3,5,10,39,244,12,2,14,4,4,5,17,7,58,10,3,11,73,16,3,6,10,40,0,0,2,5,3,44,9,59,5,6,12,7,4,1,3,59,0,2,0,0,15,,1007.0,,,
2022-02,6,42,2,4,5,16,32,14,13,6,0,0,0,6,8,32,112,7,0,13,12,5,15,4,5,127,9,0,6,71,21,3,18,8,38,0,2,5,5,1,56,3,55,5,1,30,6,0,5,3,33,17,1,4,0,1,,887.0,,,
2022-03,6,51,6,31,4,26,38,4,9,15,2,7,6,24,7,52,260,18,1,8,19,5,16,3,2,206,7,6,6,147,30,10,11,18,251,1,5,6,1,8,46,6,67,9,5,42,10,1,6,5,27,33,1,2,0,19,,1606.0,,,
2022-04,6,55,7,87,7,17,30,10,3,7,1,6,14,23,10,40,244,23,1,7,16,1,7,4,6,402,3,5,12,150,23,10,53,16,50,1,3,6,3,13,14,8,64,13,11,44,20,36,2,4,22,53,2,2,0,44,,1715.0,,,
2022-05,6,39,8,38,5,37,41,22,3,19,4,3,29,46,22,61,329,26,1,15,13,3,7,2,1,220,3,18,10,178,32,19,33,19,48,1,4,11,4,5,56,4,69,20,16,31,53,64,2,4,20,46,2,6,0,75,,1847.0,,,
2022-06,6,54,11,51,3,42,34,14,4,10,4,2,5,23,30,64,329,25,5,31,12,10,13,2,5,188,21,5,5,193,21,22,35,26,67,3,2,9,15,6,63,6,88,68,38,78,118,194,2,4,20,45,1,1,8,45,,2180.0,,,
2022-07,6,48,4,23,1,26,52,12,4,16,9,4,4,38,34,43,442,33,2,21,13,4,10,0,2,107,11,36,14,225,45,34,35,23,46,2,3,8,12,7,43,10,94,60,30,29,80,91,3,8,21,23,3,2,14,50,,2014.0,,,
2022-08,6,44,15,29,3,19,36,12,5,16,0,6,4,40,21,63,313,20,3,17,19,5,4,2,0,65,15,20,14,249,53,7,11,15,34,2,9,4,12,14,73,12,74,69,40,83,59,77,1,4,29,5,1,3,13,53,,1816.0,,,
2022-09,6,46,8,8,3,42,27,9,7,6,3,4,1,34,18,73,202,23,4,14,12,1,7,16,3,28,4,12,13,221,33,13,9,25,18,1,7,4,3,5,77,5,59,25,31,18,37,58,3,4,179,9,1,4,11,35,,1523.0,,,
2022-10,6,29,13,11,3,16,33,12,6,25,3,21,1,28,13,47,214,23,0,8,13,10,8,1,6,28,6,8,10,172,18,8,7,17,16,2,4,6,4,6,76,1,71,21,14,14,5,59,8,8,34,15,2,3,1,72,,1260.0,,,
2022-11,6,23,7,10,2,18,35,12,3,7,1,5,3,14,11,39,263,18,3,13,11,1,18,1,4,29,7,5,8,139,10,4,7,4,34,1,2,6,4,9,79,9,78,57,28,9,15,38,1,2,27,7,1,2,0,166,,1310.0,,,
2022-12,6,61,10,14,2,16,31,8,7,18,1,3,5,22,16,36,163,14,8,14,6,19,2,25,1,108,20,2,6,103,16,0,15,5,32,1,3,8,4,11,61,3,46,10,10,7,12,17,1,3,26,12,2,2,0,62,,1110.0,,,
2023-01,6,36,7,23,1,20,27,10,2,19,2,2,7,23,23,38,150,19,2,7,9,5,17,5,2,185,12,2,14,127,16,7,18,9,41,1,5,6,5,17,46,7,36,11,10,15,7,0,2,3,26,21,2,8,0,21,,1136.0,,,
2023-02,6,41,4,23,5,9,28,10,4,14,0,6,8,14,18,27,165,14,1,4,9,0,10,13,6,166,11,1,9,101,18,10,33,12,26,4,3,8,3,8,19,4,61,10,7,10,18,12,5,1,23,51,1,8,0,11,,1087.0,,,
2023-03,6,45,14,31,0,23,26,15,3,11,2,4,10,45,12,52,210,17,1,7,8,2,6,0,3,169,7,6,5,133,34,9,24,10,27,2,8,12,6,8,64,3,55,6,3,43,14,1,4,6,26,46,2,2,0,22,,1304.0,,,
2023-04,6,43,18,43,3,25,30,10,6,4,2,1,5,14,14,47,196,29,7,9,19,4,12,3,0,89,5,14,11,140,32,6,11,22,13,2,0,5,4,21,33,5,69,20,20,36,37,109,2,9,26,23,1,1,0,48,,1358.0,,,
2023-05,6,37,18,24,1,31,34,19,2,6,3,4,7,34,22,48,174,24,7,11,14,6,19,1,2,72,4,10,18,186,36,8,4,28,40,1,4,8,4,4,52,10,111,17,15,38,65,303,3,11,30,11,1,3,3,83,,1731.0,,,
2023-06,6,80,4,13,2,17,39,14,5,5,6,2,9,25,30,71,193,19,2,17,18,0,11,4,4,82,9,12,8,211,26,10,15,19,34,0,4,7,3,10,56,6,43,43,36,47,85,206,2,2,31,11,0,0,6,57,,1671.0,,,
2023-07,6,55,10,25,1,33,29,7,18,19,3,1,9,49,68,63,169,16,7,10,6,5,6,5,2,56,5,11,16,257,41,18,36,18,43,2,7,5,2,14,31,2,55,88,48,31,66,83,3,4,37,75,3,11,18,80,,1782.0,,,
2023-08,6,65,7,18,1,37,36,6,8,11,10,14,15,40,43,67,194,25,3,12,4,9,13,4,6,61,9,13,11,245,40,7,11,17,30,2,6,8,9,11,72,5,55,48,26,29,42,88,4,5,39,23,1,1,26,52,,1644.0,,,
2023-09,6,48,2,18,4,27,26,6,8,21,7,5,5,51,34,61,192,17,4,15,17,3,17,15,3,33,7,23,7,299,36,5,22,25,16,3,0,3,4,8,57,5,84,39,33,35,53,82,1,8,49,25,0,10,6,28,,1612.0,,,
2023-10,6,41,10,19,1,29,46,7,11,6,4,7,3,24,16,53,164,24,5,13,13,2,23,34,3,46,5,12,9,223,27,15,11,19,29,3,1,11,4,6,58,10,106,27,28,13,32,128,2,14,25,17,2,4,1,73,,1519.0,,,
2023-11,6,54,6,16,2,10,35,8,8,7,1,5,7,25,21,35,227,25,2,19,10,6,15,2,7,26,6,9,7,165,19,3,11,16,23,3,2,9,10,24,62,1,80,7,6,10,22,91,4,6,24,9,0,1,0,225,,1434.0,,,
2023-12,6,31,12,23,4,25,23,11,9,2,1,3,1,22,23,28,187,19,3,16,11,5,6,4,4,102,8,3,5,94,14,9,19,17,34,0,3,9,2,28,29,3,53,3,3,6,6,103,2,3,26,33,2,0,0,87,,1179.0,,,
2024-01,6,39,6,28,4,21,37,13,3,14,1,3,9,24,21,46,166,26,2,30,16,6,7,3,5,131,7,12,3,125,26,9,23,20,35,0,2,9,7,16,54,15,69,11,8,0,10,125,2,6,41,57,0,4,0,17,,1374.0,,,
2024-02,6,54,7,15,4,22,36,16,9,23,4,8,9,28,20,52,151,31,7,5,16,9,8,3,1,184,8,3,2,124,15,8,13,15,30,1,4,6,4,12,47,7,57,8,2,28,21,109,3,5,27,18,1,1,0,26,,1327.0,,,
2024-03,6,39,12,34,7,21,29,8,5,8,4,2,4,33,14,49,390,21,1,13,25,0,12,3,8,146,7,6,8,111,19,6,23,22,54,1,10,11,5,17,43,7,72,14,14,34,12,106,2,3,125,60,2,5,0,28,,1715.0,,,
2024-04,6,41,8,26,8,23,20,5,6,13,1,2,5,31,21,44,261,26,4,6,15,2,6,5,3,80,6,14,10,129,21,18,29,33,41,0,3,5,6,24,56,6,59,37,21,34,42,107,2,13,125,67,3,3,1,62,,1639.0,,,
2024-05,6,58,9,25,3,35,64,26,7,17,5,4,10,35,19,57,193,29,4,20,24,4,17,4,4,101,8,24,2,162,33,10,51,38,36,0,2,7,8,17,55,9,47,103,105,43,78,84,5,6,30,83,0,6,20,116,,1962.0,,,
2024-06,6,40,7,23,3,34,37,10,5,7,6,5,3,36,31,64,444,33,3,12,12,8,5,11,6,94,8,16,12,180,48,10,25,27,52,1,0,7,9,8,63,4,75,94,113,31,75,101,3,3,32,50,1,5,10,94,,2096.0,,,
2024-07,6,32,6,22,4,23,37,10,6,17,6,8,2,48,34,70,244,34,4,15,13,3,5,1,2,108,6,13,16,227,45,15,28,35,25,2,5,8,5,8,38,6,91,209,160,73,70,68,5,3,29,66,2,6,25,75,,2118.0,,,
2024-08,6,42,5,17,1,20,28,3,13,8,4,6,0,36,37,48,212,13,1,21,16,2,14,1,2,90,8,23,4,214,41,19,22,28,48,1,3,5,6,13,37,5,86,41,78,35,46,72,4,2,28,17,0,6,27,55,,1614.0,,,
2024-09,6,37,4,23,1,27,38,5,16,7,4,7,1,59,27,61,210,15,0,9,16,1,6,23,6,77,10,12,10,205,33,6,12,21,39,0,3,10,9,11,76,2,40,22,37,32,36,11,7,8,31,17,2,6,9,59,,1456.0,,,
2024-10,6,42,10,15,4,27,27,10,15,28,3,4,6,37,20,49,254,17,0,14,12,3,12,15,7,55,8,13,6,177,21,6,10,26,31,0,0,11,2,7,64,11,94,32,28,32,37,77,2,14,53,22,0,1,3,83,,1557.0,,,
2024-11,6,38,9,17,0,17,17,10,9,9,2,2,28,31,13,50,164,16,4,16,12,5,10,5,4,41,7,12,2,109,11,8,12,12,20,1,1,4,2,14,50,5,78,17,23,9,18,168,0,9,24,28,0,5,0,187,,1365.0,,,
2024-12,6,35,4,14,1,23,23,5,7,9,2,1,8,31,12,36,182,14,5,7,8,3,9,3,4,34,16,3,17,102,13,1,15,11,22,2,5,5,6,17,47,5,82,12,8,3,9,97,0,5,19,19,0,8,0,145,,1174.0,,,
2025-01,6,53,15,21,3,30,32,16,8,22,1,5,16,35,10,31,246,14,3,23,8,15,4,1,4,100,14,8,15,99,13,3,6,9,26,1,4,21,6,5,56,1,131,18,5,1,4,156,4,7,37,30,1,2,0,17,,1416.0,,,
2025-02,6,47,15,6,0,27,29,9,13,7,2,8,7,20,7,43,218,8,0,8,13,10,7,4,4,83,6,8,6,86,17,5,12,10,22,0,4,5,3,9,59,4,61,4,15,12,8,259,0,3,28,10,3,2,0,13,,1269.0,,,
2025-03,6,55,5,28,4,31,31,6,13,11,1,3,3,20,16,52,249,28,1,10,20,1,10,0,1,179,10,11,11,118,17,6,14,25,37,2,2,6,4,14,32,11,94,16,27,31,18,173,0,2,25,50,0,3,0,36,,1573.0,,,
2025-04,6,33,7,45,2,31,44,7,8,8,5,7,10,34,31,45,245,25,1,7,15,3,16,6,3,148,1,13,19,141,30,17,26,27,40,1,4,13,3,25,46,7,71,19,24,49,32,223,1,5,21,59,0,3,1,66,,1773.0,,,
2025-05,6,60,11,43,3,30,39,6,14,8,5,5,7,35,53,49,336,15,1,12,9,3,14,2,5,96,8,28,10,149,34,8,21,20,46,3,0,8,3,17,37,5,90,46,53,38,70,33,0,9,16,34,0,1,5,93,,1746.0,,,
2025-06,6,55,6,29,3,30,38,4,9,14,5,3,7,60,56,53,291,31,1,20,23,2,22,1,6,130,14,15,18,217,44,6,29,22,45,4,9,8,8,17,61,1,113,53,80,62,88,128,7,9,33,59,1,3,21,118,,2192.0,,,
2025-07,6,58,8,21,3,45,50,12,5,7,14,4,0,61,64,69,234,26,2,33,26,6,11,7,6,89,9,23,10,272,58,20,17,18,32,3,1,10,2,18,57,1,77,69,151,54,78,96,5,3,72,50,0,9,56,101,,2233.0,,,
2025-08,6,49,2,30,0,41,49,12,5,5,2,5,1,72,60,76,352,28,0,14,19,2,6,0,5,48,7,29,22,251,58,9,17,19,48,3,4,8,5,14,19,8,66,42,71,43,51,128,0,11,123,42,2,9,45,97,,2134.0,,,
2025-09,6,43,1,23,1,30,39,11,4,11,6,2,11,70,43,47,363,28,0,8,16,1,10,9,1,33,7,12,15,232,54,12,7,22,34,2,5,3,4,15,20,2,76,43,38,41,60,57,0,6,107,16,0,7,22,63,,1793.0,,,
2025-10,6,39,13,26,0,27,50,11,3,13,3,3,14,58,27,43,737,21,0,6,13,3,18,5,2,53,11,13,11,158,27,4,11,14,93,6,0,11,5,4,72,6,70,18,22,92,47,104,2,9,60,27,1,3,8,72,,2169.0,,,
2025-11,6,43,7,12,1,34,29,9,7,12,3,2,13,25,15,44,687,18,2,16,6,2,8,1,8,27,18,1,11,118,24,5,6,22,33,2,0,8,6,16,74,6,69,21,25,14,25,126,3,3,35,3,3,5,0,250,,1963.0,,,
2025-12,6,54,2,8,1,26,34,20,6,13,1,4,17,33,26,33,347,14,1,27,7,6,10,5,5,49,24,14,10,64,33,3,4,7,45,2,6,4,4,10,69,1,64,12,13,3,14,157,1,4,31,13,3,3,0,43,,1410.0,,,
2019-01,7,2,31,4,0,10,28,2,0,1,0,1,0,0,0,1,0,1,2,0,1,0,2,0,2,24,2,0,6,0,0,4,4,67,28,0,0,0,5,0,21,0,9,0,0,3,2,9,0,0,24,2,2,1,0,0,,,301.0,,
2019-02,7,10,26,12,3,7,26,9,0,3,0,3,0,0,1,13,2,6,3,1,2,0,0,0,1,305,1,0,8,4,1,3,18,6,29,0,0,0,4,0,65,0,8,2,2,5,5,21,1,0,65,8,0,0,0,1,,,690.0,,
2019-03,7,20,21,14,1,18,14,7,1,24,1,3,0,10,5,34,69,31,1,6,7,13,0,0,0,360,2,2,6,54,35,24,19,7,47,0,2,11,3,5,37,7,48,2,5,16,21,73,1,3,36,20,0,9,0,9,,,1164.0,,
2019-04,7,31,27,20,2,17,23,4,1,2,1,1,18,9,4,29,64,36,1,0,6,1,4,0,5,167,4,6,8,69,27,17,43,33,90,1,1,10,4,11,40,6,22,7,13,19,20,35,0,6,22,31,0,3,0,21,,,1042.0,,
2019-05,7,27,20,39,0,15,23,5,2,13,0,9,9,9,16,31,106,27,3,8,23,3,7,3,1,177,2,9,7,85,27,29,72,24,69,2,1,5,9,7,70,7,56,10,8,17,23,39,5,6,17,57,2,5,2,25,,,1273.0,,
2019-06,7,21,8,25,5,20,27,5,2,16,2,3,1,23,14,34,410,21,0,8,15,5,4,8,0,70,1,10,4,101,53,15,73,14,53,0,0,4,6,8,125,8,57,22,30,12,31,102,5,6,10,65,0,2,3,34,,,1601.0,,
2019-07,7,18,22,31,5,24,23,8,0,11,3,4,0,18,17,55,307,54,2,13,10,2,4,17,3,92,1,11,15,128,80,23,54,18,88,2,6,9,5,11,152,5,117,18,41,33,25,126,6,3,209,30,0,3,3,23,,,1988.0,,
2019-08,7,30,20,19,3,37,29,3,4,17,1,2,1,26,18,41,292,47,4,18,12,9,11,2,2,157,1,10,24,140,71,19,16,34,62,1,6,8,5,10,129,5,62,31,46,27,26,72,3,2,93,31,0,4,9,14,,,1766.0,,
2019-09,7,29,29,40,8,23,23,4,0,4,2,2,0,16,9,41,283,30,0,6,8,2,10,6,1,127,1,8,17,129,46,16,25,39,96,1,4,19,6,5,142,7,28,17,18,13,26,78,3,3,46,16,3,0,5,10,,,1530.0,,
2019-10,7,20,44,28,0,17,19,9,1,11,0,1,2,14,3,30,199,32,1,9,14,1,4,3,0,66,4,4,9,99,24,13,20,22,78,3,5,11,4,8,179,5,40,12,20,7,14,71,0,9,155,17,1,2,3,43,,,1410.0,,
2019-11,7,18,37,19,9,24,17,2,1,9,3,1,6,6,6,29,252,38,1,11,14,4,9,2,0,76,2,1,7,52,40,9,22,28,90,1,5,17,4,21,144,9,31,15,14,15,11,18,1,6,46,27,4,1,0,160,,,1395.0,,
2019-12,7,34,12,18,2,26,10,2,0,11,0,2,17,5,12,34,198,19,0,9,7,2,3,0,0,60,5,6,11,45,34,4,17,5,142,3,6,11,4,25,116,3,39,5,1,4,7,7,0,2,35,21,0,1,0,67,,,1109.0,,
2020-01,7,23,11,10,1,11,16,4,2,8,1,1,47,4,9,31,292,27,1,15,6,3,1,6,1,98,7,14,9,53,35,6,18,12,50,3,3,16,3,8,128,9,84,3,4,6,5,14,0,7,25,15,1,3,0,15,,,1185.0,,
2020-02,7,12,9,18,2,17,8,3,0,20,2,0,18,18,3,21,167,33,2,4,10,2,6,1,0,56,4,21,7,37,27,19,14,5,50,1,3,4,9,1,72,3,30,4,2,8,4,7,3,2,14,3,1,5,0,5,,,797.0,,
2020-03,7,14,6,12,4,16,11,2,24,8,0,2,8,15,6,21,211,14,2,5,11,2,8,1,0,59,3,4,12,35,41,14,15,9,49,0,0,9,6,7,71,7,41,1,8,5,6,15,0,1,20,16,1,6,0,17,,,881.0,,
2020-04,7,5,1,27,3,20,13,3,69,7,0,5,8,3,7,37,168,8,1,4,7,4,7,1,1,62,4,10,4,53,21,2,17,10,44,0,0,3,1,4,29,5,36,4,4,11,11,21,0,3,8,31,2,1,0,28,,,838.0,,
2020-05,7,10,1,6,9,31,11,0,44,3,0,0,1,13,13,42,147,13,1,13,16,2,5,0,1,37,9,18,4,112,30,6,41,12,24,1,2,5,9,9,35,17,58,6,13,25,21,49,3,3,12,50,0,10,0,40,,,1043.0,,
2020-06,7,16,1,12,1,29,19,1,40,17,2,1,2,5,8,43,148,13,2,13,9,1,6,1,1,49,7,16,9,108,39,13,20,6,98,0,1,3,4,8,61,12,47,42,70,23,60,85,5,1,17,19,1,5,2,25,,,1247.0,,
2020-07,7,30,4,10,1,34,25,5,43,8,2,2,2,12,5,45,92,20,4,21,16,5,2,1,0,36,5,7,9,123,35,19,15,12,74,2,5,9,2,8,79,15,45,36,48,28,24,89,2,2,18,17,2,0,12,24,,,1191.0,,
2020-08,7,28,5,12,0,33,24,6,42,3,5,3,6,12,9,38,140,17,4,2,12,1,2,0,0,28,5,5,9,111,50,7,12,7,38,0,1,6,7,4,81,11,51,176,190,12,46,82,2,2,16,10,0,3,5,28,,,1409.0,,
2020-09,7,19,14,9,1,35,20,3,34,32,2,2,0,20,10,42,208,17,0,11,9,0,4,11,0,32,15,15,6,122,34,9,15,17,58,0,3,6,2,3,82,2,36,30,32,19,19,90,12,4,37,25,2,2,5,20,,,1257.0,,
2020-10,7,22,4,11,1,27,23,3,26,6,0,1,0,13,8,42,118,26,2,7,12,2,5,1,2,23,3,7,6,97,54,8,15,10,46,0,0,10,3,4,50,4,27,13,15,12,21,55,3,6,15,15,0,1,0,42,,,927.0,,
2020-11,7,24,5,12,1,23,15,2,39,5,1,0,6,10,14,44,125,18,2,15,11,4,5,3,0,19,6,7,4,75,31,3,8,39,75,1,6,14,4,13,48,4,26,15,17,7,23,26,0,5,8,21,2,3,0,133,,,1027.0,,
2020-12,7,11,3,13,2,28,9,1,37,16,0,3,2,10,12,29,458,15,1,11,7,5,8,1,0,68,6,2,5,72,42,5,8,13,28,0,1,5,3,11,47,6,41,5,5,3,7,7,4,0,16,17,2,1,0,27,,,1139.0,,
2021-01,7,19,9,17,0,46,21,2,40,12,1,2,1,8,6,34,119,7,1,6,2,7,3,3,3,78,1,5,7,50,50,2,6,27,20,1,0,1,2,7,49,7,42,5,3,2,4,15,4,1,12,6,1,1,0,4,,,782.0,,
2021-02,7,32,3,2,0,20,26,6,4,13,0,1,0,2,2,29,121,7,0,49,7,4,6,1,5,44,14,0,2,15,42,0,2,21,33,0,0,1,5,2,68,6,26,1,5,4,7,7,2,2,8,5,1,1,0,1,,,665.0,,
2021-03,7,36,6,15,1,35,20,4,16,10,3,0,7,14,7,48,257,19,1,10,12,2,10,4,0,77,10,4,6,72,64,8,7,17,34,2,3,14,4,22,76,10,43,5,3,13,11,21,1,5,26,7,0,3,0,28,,,1133.0,,
2021-04,7,24,1,16,3,29,5,2,11,11,1,1,3,7,11,44,294,20,0,9,6,7,23,0,1,64,4,8,3,75,56,7,9,13,37,2,3,12,2,10,13,8,34,3,8,26,23,45,0,4,31,5,1,1,0,24,,,1060.0,,
2021-05,7,33,5,12,2,32,20,2,6,13,1,2,1,28,17,58,141,11,1,3,7,0,23,0,1,62,0,10,4,128,102,5,7,16,21,1,1,14,6,4,38,9,49,13,31,23,27,79,1,6,9,15,0,2,1,34,,,1137.0,,
2021-06,7,49,7,16,5,46,19,1,11,7,3,1,0,10,17,61,237,23,1,4,11,1,5,6,4,49,8,7,5,136,64,13,27,17,88,2,0,8,2,7,63,6,43,29,59,12,44,79,8,5,13,43,2,17,8,29,,,1438.0,,
2021-07,7,36,0,11,3,34,21,1,2,10,2,2,3,9,17,56,354,31,4,15,14,0,4,1,0,43,6,12,6,146,65,13,10,18,97,0,5,14,4,11,40,5,46,31,47,6,24,78,3,2,150,14,1,5,16,26,,,1574.0,,
2021-08,7,31,2,12,1,34,24,4,15,5,3,2,0,25,24,56,296,25,2,5,9,2,12,2,2,39,7,11,8,125,73,10,18,15,69,0,1,10,2,11,38,1,43,38,53,14,30,62,1,10,47,22,2,9,14,23,,,1399.0,,
2021-09,7,27,3,12,2,32,24,6,22,8,2,0,0,14,13,44,182,25,1,10,17,0,8,6,2,35,5,17,9,130,56,6,9,33,104,1,2,3,3,4,34,0,19,29,19,45,37,48,1,4,29,8,6,1,3,17,,,1177.0,,
2021-10,7,31,5,14,4,16,25,7,13,7,3,2,4,17,9,28,140,16,1,8,10,5,10,5,0,52,7,8,3,114,30,12,24,28,58,0,0,2,2,12,75,9,66,33,28,8,26,47,3,5,25,40,1,5,0,23,,,1126.0,,
2021-11,7,21,4,8,1,27,22,7,11,6,1,0,19,6,5,36,133,24,1,10,5,3,6,7,5,21,4,6,11,79,39,3,8,13,33,0,1,3,1,19,48,2,50,13,7,3,9,26,0,3,10,7,2,3,0,90,,,882.0,,
2021-12,7,30,2,11,0,22,7,2,9,20,1,2,2,9,12,30,130,20,2,17,10,1,8,6,1,36,10,4,7,67,28,3,12,5,25,0,0,7,4,24,60,18,46,14,11,8,1,9,1,5,11,21,2,6,0,74,,,873.0,,
